symbol	keggID
ASNS	01100
ASPA	00250
ASPA	00340
ASS1	00250
ASS1	00330
ASS1	01100
SERPINC1	04610
ATF4	04010
ATF4	04141
ATF4	04720
ATF4	04722
ATF4	04912
ATF4	05215
ATIC	00230
ATIC	00670
ATIC	01100
ATM	04110
ATM	04115
ATM	04210
ATP1A1	04260
ATP1A1	04960
ATP1A1	04964
ATP1A1	04970
ATP1A1	04971
ATP1A1	04972
ATP1A1	04973
ATP1A1	04974
ATP1A1	04976
ATP1A2	04260
ATP1A2	04960
ATP1A2	04964
ATP1A2	04970
ATP1A2	04971
ATP1A2	04972
ATP1A2	04973
ATP1A2	04974
ATP1A2	04976
ATP1A3	04260
ATP1A3	04960
ATP1A3	04964
ATP1A3	04970
ATP1A3	04971
ATP1A3	04972
ATP1A3	04973
ATP1A3	04974
ATP1A3	04976
ATP12A	00190
ATP1A4	04260
ATP1A4	04960
ATP1A4	04964
ATP1A4	04970
ATP1A4	04971
ATP1A4	04972
ATP1A4	04973
ATP1A4	04974
ATP1A4	04976
ATP1B1	04260
ATP1B1	04960
ATP1B1	04964
ATP1B1	04970
ATP1B1	04971
ATP1B1	04972
ATP1B1	04973
ATP1B1	04974
ATP1B1	04976
ATP1B2	04260
ATP1B2	04960
ATP1B2	04964
ATP1B2	04970
ATP1B2	04971
ATP1B2	04972
ATP1B2	04973
ATP1B2	04974
ATP1B2	04976
ATP1B3	04260
ATP1B3	04960
ATP1B3	04964
ATP1B3	04970
ATP1B3	04971
ATP1B3	04972
ATP1B3	04973
ATP1B3	04974
ATP1B3	04976
FXYD2	04260
FXYD2	04960
FXYD2	04964
FXYD2	04970
FXYD2	04972
FXYD2	04973
FXYD2	04974
FXYD2	04976
ATP2A1	04020
ATP2A1	04972
ATP2A1	05010
ATP2A2	04020
ATP2A2	04260
ATP2A2	04972
ATP2A2	05010
ATP2A2	05410
ATP2A2	05412
ATP2A2	05414
ATP2A3	04020
ATP2A3	04972
ATP2A3	05010
ATP2B1	04020
ATP2B1	04970
ATP2B1	04972
ATP2B2	04020
ATP2B2	04970
ATP2B2	04972
ATP2B3	04020
ATP2B3	04970
ATP2B3	04972
ATP2B4	04020
ATP2B4	04970
ATP2B4	04972
ATP4A	00190
ATP4A	04966
ATP4A	04971
ATP4B	00190
ATP4B	04966
ATP4B	04971
ATP5F1A	00190
ATP5F1A	01100
ATP5F1A	05010
