symbol	reactomeID
CDH7	R-HSA-421270
CDH7	R-HSA-446728
KRTAP9-7	R-HSA-1266738
KRTAP9-7	R-HSA-6805567
KRTAP16-1	R-HSA-1266738
KRTAP16-1	R-HSA-6805567
OCLN	R-HSA-109581
OCLN	R-HSA-111465
OCLN	R-HSA-212436
OCLN	R-HSA-351906
OCLN	R-HSA-5357801
OCLN	R-HSA-73857
OCLN	R-HSA-74160
OCLN	R-HSA-75153
OCLN	R-HSA-8878171
OCLN	R-HSA-8935964
ELOA3DP	R-HSA-112382
ELOA3DP	R-HSA-162587
ELOA3DP	R-HSA-162599
ELOA3DP	R-HSA-162906
ELOA3DP	R-HSA-1643685
ELOA3DP	R-HSA-167152
ELOA3DP	R-HSA-167169
ELOA3DP	R-HSA-167172
ELOA3DP	R-HSA-167200
ELOA3DP	R-HSA-167238
ELOA3DP	R-HSA-167243
ELOA3DP	R-HSA-167246
ELOA3DP	R-HSA-167287
ELOA3DP	R-HSA-167290
ELOA3DP	R-HSA-212436
ELOA3DP	R-HSA-3700989
ELOA3DP	R-HSA-5663205
ELOA3DP	R-HSA-674695
ELOA3DP	R-HSA-6796648
ELOA3DP	R-HSA-73857
ELOA3DP	R-HSA-74160
ELOA3DP	R-HSA-75955
MICA	R-HSA-1280218
MICA	R-HSA-168256
MICA	R-HSA-198933
KRTAP9-6	R-HSA-1266738
KRTAP9-6	R-HSA-6805567
SMC4	R-HSA-1640170
SMC4	R-HSA-1640170
SMC4	R-HSA-2299718
SMC4	R-HSA-2514853
SMC4	R-HSA-2514853
SMC4	R-HSA-68875
SMC4	R-HSA-68877
SMC4	R-HSA-68877
SMC4	R-HSA-68886
SMC4	R-HSA-68886
SMC4	R-HSA-69278
SMC4	R-HSA-69278
GJC1	R-HSA-112303
GJC1	R-HSA-112307
GJC1	R-HSA-112316
GJC1	R-HSA-157858
GJC1	R-HSA-190828
GJC1	R-HSA-190861
GJC1	R-HSA-199991
GJC1	R-HSA-5653656
RBM14-RBM4	R-HSA-212436
RBM14-RBM4	R-HSA-73857
RBM14-RBM4	R-HSA-74160
RBM14-RBM4	R-HSA-8878166
RBM14-RBM4	R-HSA-8941326
CENPS-CORT	R-HSA-141424
CENPS-CORT	R-HSA-141444
CENPS-CORT	R-HSA-162582
CENPS-CORT	R-HSA-1640170
CENPS-CORT	R-HSA-194315
CENPS-CORT	R-HSA-195258
CENPS-CORT	R-HSA-2467813
CENPS-CORT	R-HSA-2500257
CENPS-CORT	R-HSA-2555396
CENPS-CORT	R-HSA-5663220
CENPS-CORT	R-HSA-606279
CENPS-CORT	R-HSA-6783310
CENPS-CORT	R-HSA-68877
CENPS-CORT	R-HSA-68882
CENPS-CORT	R-HSA-68886
CENPS-CORT	R-HSA-69278
CENPS-CORT	R-HSA-69618
CENPS-CORT	R-HSA-69620
CENPS-CORT	R-HSA-73886
CENPS-CORT	R-HSA-73894
CENPS-CORT	R-HSA-774815
CENPS-CORT	R-HSA-9648025
CENPS-CORT	R-HSA-9716542
RNF103-CHMP3	R-HSA-162587
RNF103-CHMP3	R-HSA-162588
RNF103-CHMP3	R-HSA-162599
RNF103-CHMP3	R-HSA-162906
RNF103-CHMP3	R-HSA-1632852
RNF103-CHMP3	R-HSA-1640170
RNF103-CHMP3	R-HSA-1643685
RNF103-CHMP3	R-HSA-1643685
RNF103-CHMP3	R-HSA-199991
RNF103-CHMP3	R-HSA-2555396
RNF103-CHMP3	R-HSA-2995410
RNF103-CHMP3	R-HSA-5218859
RNF103-CHMP3	R-HSA-5357801
RNF103-CHMP3	R-HSA-5620971
RNF103-CHMP3	R-HSA-5653656
RNF103-CHMP3	R-HSA-5663205
RNF103-CHMP3	R-HSA-5663205
RNF103-CHMP3	R-HSA-68882
RNF103-CHMP3	R-HSA-68886
RNF103-CHMP3	R-HSA-69278
RNF103-CHMP3	R-HSA-917729
RNF103-CHMP3	R-HSA-9609646
RNF103-CHMP3	R-HSA-9610379
RNF103-CHMP3	R-HSA-9612973
RNF103-CHMP3	R-HSA-9612973
RNF103-CHMP3	R-HSA-9615710
RNF103-CHMP3	R-HSA-9668328
RNF103-CHMP3	R-HSA-9678108
RNF103-CHMP3	R-HSA-9679504
RNF103-CHMP3	R-HSA-9679506
RNF103-CHMP3	R-HSA-9679506
RNF103-CHMP3	R-HSA-9694516
RNF103-CHMP3	R-HSA-9694676
EPPIN-WFDC6	R-HSA-168249
EPPIN-WFDC6	R-HSA-168256
EPPIN-WFDC6	R-HSA-6803157
NT5C1B-RDH14	R-HSA-1430728
NT5C1B-RDH14	R-HSA-15869
NT5C1B-RDH14	R-HSA-74259
NT5C1B-RDH14	R-HSA-8956319
PMF1-BGLAP	R-HSA-141424
PMF1-BGLAP	R-HSA-141444
PMF1-BGLAP	R-HSA-162582
PMF1-BGLAP	R-HSA-1640170
PMF1-BGLAP	R-HSA-194315
PMF1-BGLAP	R-HSA-195258
PMF1-BGLAP	R-HSA-2467813
PMF1-BGLAP	R-HSA-2500257
PMF1-BGLAP	R-HSA-2555396
PMF1-BGLAP	R-HSA-5663220
PMF1-BGLAP	R-HSA-68877
PMF1-BGLAP	R-HSA-68882
PMF1-BGLAP	R-HSA-68886
PMF1-BGLAP	R-HSA-69278
PMF1-BGLAP	R-HSA-69618
PMF1-BGLAP	R-HSA-69620
PMF1-BGLAP	R-HSA-9648025
PMF1-BGLAP	R-HSA-9716542
POC1B-GALNT4	R-HSA-392499
POC1B-GALNT4	R-HSA-5173105
POC1B-GALNT4	R-HSA-597592
POC1B-GALNT4	R-HSA-913709
KLRC4-KLRK1	R-HSA-1280218
KLRC4-KLRK1	R-HSA-168249
KLRC4-KLRK1	R-HSA-168249
KLRC4-KLRK1	R-HSA-168256
KLRC4-KLRK1	R-HSA-168256
KLRC4-KLRK1	R-HSA-198933
KLRC4-KLRK1	R-HSA-2172127
KLRC4-KLRK1	R-HSA-2172127
KLRC4-KLRK1	R-HSA-2424491
KLRC4-KLRK1	R-HSA-2424491
CHURC1-FNTB	R-HSA-162582
CHURC1-FNTB	R-HSA-2187338
CHURC1-FNTB	R-HSA-2514856
CHURC1-FNTB	R-HSA-2514859
CHURC1-FNTB	R-HSA-5673001
CHURC1-FNTB	R-HSA-5683057
CHURC1-FNTB	R-HSA-5684996
CHURC1-FNTB	R-HSA-9648002
CHURC1-FNTB	R-HSA-9709957
AP1M2	R-HSA-1280218
AP1M2	R-HSA-162906
AP1M2	R-HSA-162909
AP1M2	R-HSA-1643685
AP1M2	R-HSA-164938
AP1M2	R-HSA-164940
AP1M2	R-HSA-164952
AP1M2	R-HSA-168256
AP1M2	R-HSA-199991
AP1M2	R-HSA-199992
AP1M2	R-HSA-2132295
AP1M2	R-HSA-432720
AP1M2	R-HSA-432722
AP1M2	R-HSA-5653656
AP1M2	R-HSA-5663205
COMMD3-BMI1	R-HSA-1257604
COMMD3-BMI1	R-HSA-1257604
COMMD3-BMI1	R-HSA-162582
COMMD3-BMI1	R-HSA-162582
COMMD3-BMI1	R-HSA-212436
COMMD3-BMI1	R-HSA-2262752
COMMD3-BMI1	R-HSA-2559580
COMMD3-BMI1	R-HSA-2559583
